Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
56171,Sherburn,MN,43.660847,-94.74357,-6,1,43.660847
55302,Annandale,MN,45.246631,-94.11692,-6,1,45.246631
55992,Zumbrota,MN,44.297157,-92.68312,-6,1,44.297157
56517,Beltrami,MN,47.55171,-96.53492,-6,1,47.55171
56091,Waldorf,MN,43.930363,-93.69492,-6,1,43.930363
55125,Saint Paul,MN,44.921982,-92.94234,-6,1,44.921982
56039,Granada,MN,43.680519,-94.33773,-6,1,43.680519
56011,Belle Plaine,MN,44.616113,-93.76906,-6,1,44.616113
56522,Campbell,MN,46.130213,-96.40019,-6,1,46.130213
55381,Silver Lake,MN,44.904987,-94.18802,-6,1,44.904987
55723,Cook,MN,47.854987,-92.77077,-6,1,47.854987
55018,Dennison,MN,44.422975,-93.00089,-6,1,44.422975
55054,New Market,MN,44.571056,-93.354267,-6,1,44.571056
56127,Dunnell,MN,43.556667,-94.77432,-6,1,43.556667
55408,Minneapolis,MN,44.947515,-93.28742,-6,1,44.947515
56083,Sanborn,MN,44.21838,-95.13348,-6,1,44.21838
55953,Lyle,MN,43.519177,-92.96466,-6,1,43.519177
55592,Maple Plain,MN,45.200875,-93.888099,-6,1,45.200875
56477,Sebeka,MN,46.630023,-95.01222,-6,1,46.630023
55430,Minneapolis,MN,45.059265,-93.29977,-6,1,45.059265
55045,Lindstrom,MN,45.387281,-92.83551,-6,1,45.387281
56277,Olivia,MN,44.766441,-94.99624,-6,1,44.766441
55168,Saint Paul,MN,45.005902,-93.105869,-6,1,45.005902
55985,West Concord,MN,44.157166,-92.89357,-6,1,44.157166
56052,Kilkenny,MN,44.320314,-93.57071,-6,1,44.320314
55306,Burnsville,MN,44.732569,-93.28909,-6,1,44.732569
55341,Hanover,MN,45.15546,-93.66369,-6,1,45.15546
55470,Minneapolis,MN,45.015914,-93.47188,-6,1,45.015914
56528,Dent,MN,46.528138,-95.79661,-6,1,46.528138
55730,Grand Rapids,MN,47.087782,-93.921429,-6,1,47.087782
56710,Alvarado,MN,48.192532,-96.9986,-6,1,48.192532
55037,Hinckley,MN,46.008128,-92.79349,-6,1,46.008128
56381,Starbuck,MN,45.578335,-95.55201,-6,1,45.578335
55735,Finlayson,MN,46.250308,-93.04462,-6,1,46.250308
56279,Pennock,MN,45.200641,-95.17748,-6,1,45.200641
56750,Red Lake Falls,MN,47.886448,-96.29033,-6,1,47.886448
55038,Hugo,MN,45.161267,-92.99596,-6,1,45.161267
55080,Stanchfield,MN,45.651767,-93.21439,-6,1,45.651767
55144,Saint Paul,MN,45.005902,-93.105869,-6,1,45.005902
55447,Minneapolis,MN,45.003363,-93.49262,-6,1,45.003363
56088,Truman,MN,43.834331,-94.4436,-6,1,43.834331
56762,Warren,MN,48.195512,-96.74207,-6,1,48.195512
55070,Saint Francis,MN,45.395912,-93.37005,-6,1,45.395912
55369,Osseo,MN,45.120764,-93.43183,-6,1,45.120764
55988,Stockton,MN,44.025446,-91.77304,-6,1,44.025446
56565,Nashua,MN,46.040316,-96.31772,-6,1,46.040316
55803,Duluth,MN,46.972432,-92.10105,-6,1,46.972432
56073,New Ulm,MN,44.308395,-94.46149,-6,1,44.308395
56308,Alexandria,MN,45.88645,-95.38287,-6,1,45.88645
56003,Mankato,MN,44.184909,-94.04244,-6,1,44.184909
55557,Young America,MN,44.805487,-93.766524,-6,1,44.805487
55956,Mazeppa,MN,44.272368,-92.53501,-6,1,44.272368
56724,Gatzke,MN,48.445999,-95.74148,-6,1,48.445999
56452,Hackensack,MN,46.963355,-94.4646,-6,1,46.963355
